	Gene	Chrom	nSNPS	TopSNP P-Value	TopSNP Position	Binarized Heat	Negative Log	Size Adjusted Heat	HumanGene
17536	Pask	chr9	87	4.90E-03	100466730	0	2.309778218	2.245920201	PASK
19947	Rslcan18	chr2	52	4.90E-03	122855165	0	2.309707322	2.256354684	NA
14536	MGC94891	chr1	79	4.91E-03	52364085	0	2.309037048	2.250699777	C6orf118
1828	Cct2	chr7	23	4.91E-03	60124681	0	2.309003429	2.258073332	CCT2
9893	LOC103690449	chr8	38	4.91E-03	102242315	0	2.308556894	2.271270536	NA
16203	Npw	chr10	21	4.91E-03	14021431	0	2.308532149	2.272643296	NPW
20825	Slc9a3r2	chr10	20	4.91E-03	14021431	0	2.308532149	2.26213089	SLC9A3R2
18156	Polq	chr11	397	4.92E-03	66692834	0	2.308429649	2.163868763	POLQ
22334	Tor1aip2	chr13	66	4.92E-03	73728369	0	2.30816026	2.242166833	TOR1AIP2
5679	Ifng	chr7	22	4.92E-03	61336792	0	2.308151431	2.26948062	IFNG
1115	B3gnt2	chr14	68	4.92E-03	107624604	0	2.308129358	2.24855923	B3GNT2
8647	LOC102552343	chr14	34	4.92E-03	107624604	0	2.308129358	2.27176463	NA
10915	LOC103693717	chr15	93	4.93E-03	58155612	0	2.307264091	2.263309469	NA
2811	Ctsh	chr8	32	4.93E-03	97458894	0	2.307212106	2.253379578	CTSH
13136	LOC108352420	chr12	27	4.93E-03	10044419	0	2.30677973	2.268125987	NA
16340	Nup188	chr3	141	4.94E-03	8906166	0	2.306554467	2.215375841	NUP188
20408	Sh3glb2	chr3	77	4.94E-03	8906166	0	2.306554467	2.257041953	SH3GLB2
7978	LOC102549737	chr5	47	4.94E-03	13147933	0	2.30632844	2.253232814	NA
288	Adcy9	chr10	352	4.94E-03	11501624	0	2.306147352	2.148335273	ADCY9
20821	Slc8a3	chr6	324	4.95E-03	104951838	0	2.3057775	2.060420603	SLC8A3
14928	Miga2	chr3	112	4.95E-03	8944825	0	2.305594886	2.248181252	MIGA2
4616	Gabbr1	chr20	52	4.95E-03	1984010	0	2.305343917	2.241045164	GABBR1
7997	LOC102549805	chr5	48	4.95E-03	13167343	0	2.305129918	2.26545415	NA
15641	Mxi1	chr1	136	4.96E-03	274079123	0	2.304179601	2.210003167	MXI1
11698	LOC108349609	chr1	77	4.96E-03	274079123	0	2.304179601	2.248212665	NA
22990	Uvrag	chr1	527	4.97E-03	163945917	0	2.303904966	2.011506785	UVRAG
17295	Olr87	chr1	39	4.97E-03	168384921	0	2.303366695	2.267806135	NA
6459	LOC100158225	chr10	48	4.98E-03	13598720	0	2.303159778	2.263434815	NA
8379	LOC102551327	chr10	40	4.98E-03	13598720	0	2.303159778	2.267778926	NA
16947	Olr309	chr1	54	4.98E-03	213344740	0	2.303063774	2.267509238	NA
16948	Olr310	chr1	21	4.98E-03	213344740	0	2.303063774	2.267509238	NA
3500	Dusp5	chr1	78	4.98E-03	274262609	0	2.302487325	2.254404442	DUSP5
2599	Cpb2	chr15	233	4.99E-03	57288913	0	2.3022425	2.218517231	CPB2
8221	LOC102550691	chr1	48	4.99E-03	274029579	0	2.3015819	2.26184991	NA
16294	Ntng2	chr3	59	5.00E-03	7806180	0	2.301197666	2.208025186	NTNG2
17187	Olr68	chr1	3	5.00E-03	168136875	0	2.301069953	2.265479274	OR51A7
17193	Olr69	chr1	3	5.00E-03	168136875	0	2.301069953	2.265509393	OR51G2
9062	LOC102553866	chr1	75	5.01E-03	198837808	0	2.300105932	2.261214252	NA
9087	LOC102553962	chr1	67	5.01E-03	198837808	0	2.300105932	2.262458151	ZNF764
16267	Nsmaf	chr5	225	5.01E-03	19535238	0	2.299871108	2.203813264	NSMAF
14539	Maats1	chr11	122	5.03E-03	65017803	0	2.298827636	2.2203661	MAATS1
19739	Rnf166	chr19	33	5.03E-03	55281877	0	2.298477778	2.253980017	RNF166
13178	LOC108352471	chr12	10	5.04E-03	50645902	0	2.297768561	2.261854609	NA
9841	LOC103690108	chr20	65	5.04E-03	3797844	0	2.29752035	2.257743182	NA
10428	LOC103692292	chr5	80	5.06E-03	14598460	0	2.295650406	2.259988446	NA
17129	Olr57	chr1	52	5.06E-03	167941375	0	2.295534605	2.259968021	NA
14216	Lhx4	chr13	103	5.07E-03	73408396	0	2.295327099	2.208962434	LHX4
9129	LOC102554128	chr13	90	5.07E-03	73408396	0	2.295327099	2.25086548	NA
15441	Mrpl15	chr5	108	5.07E-03	14604563	0	2.295158252	2.249185682	MRPL15
14293	Lnc012	chr17	92	5.08E-03	10782557	0	2.294381716	2.226099273	NA
5269	Hand1	chr10	38	5.08E-03	43253712	0	2.294280792	2.25708479	HAND1
262	Adamts7	chr8	136	5.08E-03	97546780	0	2.294013198	2.219352633	ADAMTS7
16266	Nsl1	chr13	124	5.08E-03	109699894	0	2.294012343	2.231078969	NSL1
2049	Cenpl	chr13	27	5.08E-03	78887587	0	2.293785916	2.244175015	CENPL
2981	Dars2	chr13	43	5.08E-03	78887587	0	2.293785916	2.231231032	DARS2
19449	Rbm12b	chr5	10	5.08E-03	25241361	0	2.29377054	2.24942538	RBM12B
15712	Myo7a	chr1	202	5.08E-03	162992609	0	2.29373979	2.188611219	MYO7A
12636	LOC108351494	chr7	80	5.09E-03	93136707	0	2.293674027	2.231814884	NA
20032	Samd12	chr7	326	5.09E-03	93136707	0	2.293674027	1.966745841	SAMD12
5870	Ints4	chr1	145	5.09E-03	162518562	0	2.293217377	2.194688801	INTS4
19901	Rps4y2	chr4	17	5.09E-03	182744796	0	2.292875417	2.257319877	RPS4Y1
10139	LOC103691476	chr2	24	5.10E-03	55309130	0	2.292626578	2.254529026	NA
3992	Fads2	chr1	360	5.10E-03	226080842	0	2.292185496	2.010607934	FADS2
19294	Rab3il1	chr1	35	5.10E-03	226080842	0	2.292185496	2.249888402	RAB3IL1
13172	LOC108352465	chr12	66	5.10E-03	48004765	0	2.292041687	2.241303346	NA
11868	LOC108349996	chr2	19	5.11E-03	122857585	0	2.291355636	2.25333338	NA
12307	LOC108350925	chr5	26	5.11E-03	19458101	0	2.291345443	2.229125879	NA
7266	LOC102547122	chr4	43	5.11E-03	23056490	0	2.291308069	2.220135241	NA
10775	LOC103693290	chr10	19	5.12E-03	14528081	0	2.290942149	2.253862606	NA
13857	LOC685273	chr10	17	5.12E-03	14528081	0	2.290942149	2.255578364	NA
16809	Olr1693	chr20	95	5.12E-03	836417	0	2.290859838	2.255275183	OR14J1
14321	Lpin2	chr9	93	5.12E-03	119536597	0	2.290818264	2.181473084	LPIN2
9569	LOC102555914	chr9	29	5.12E-03	119536597	0	2.290818264	2.250784084	NA
8882	LOC102553152	chr9	13	5.13E-03	113917862	0	2.290238343	2.250553539	NA
23242	Wash1	chr9	15	5.13E-03	113917862	0	2.290238343	2.237601524	NA
1609	Catsperd	chr9	67	5.13E-03	10436548	0	2.289797985	2.21666845	CATSPERD
14301	Lonp1	chr9	24	5.13E-03	10436548	0	2.289797985	2.24280339	LONP1
19844	Rpl36	chr9	15	5.13E-03	10436548	0	2.289797985	2.254423157	RPL36
19920	Rragd	chr5	42	5.13E-03	48243334	0	2.289500996	2.219043987	RRAGD
8928	LOC102553382	chr9	8	5.14E-03	113935831	0	2.288990412	2.248570713	NA
3764	Endog	chr3	34	5.14E-03	8749197	0	2.288934656	2.2517246	ENDOG
13684	LOC499770	chr3	64	5.14E-03	8749197	0	2.288934656	2.246541183	NA
17804	Pgpep1l	chr1	119	5.14E-03	129206418	0	2.288862016	2.225687692	PGPEP1L
2799	Ctnnd2	chr2	2615	5.14E-03	83789368	0	2.288800365	1.383684839	CTNND2
10276	LOC103691861	chr3	41	5.15E-03	106302332	0	2.288092431	2.252355175	NA
706	Apex2l1	chr14	61	5.16E-03	71702318	0	2.287187048	2.251012068	NA
8002	LOC102549824	chr8	15	5.17E-03	111480515	0	2.286658167	2.246509536	NA
12102	LOC108350486	chr3	51	5.18E-03	140493983	0	2.285673594	2.240011245	NA
3749	Emilin2	chr9	271	5.20E-03	119651414	0	2.284400237	2.189919605	EMILIN2
8149	LOC102550434	chr6	79	5.20E-03	123120475	0	2.284315813	2.152789266	NA
9365	LOC102555043	chr13	100	5.20E-03	109962793	0	2.284307455	2.203145282	NA
566	Angel2	chr13	50	5.20E-03	109501300	0	2.283726976	2.233090034	ANGEL2
13732	LOC678708	chr13	55	5.20E-03	109501300	0	2.283726976	2.241712998	NA
19907	Rps6kc1	chr13	286	5.20E-03	109501300	0	2.283726976	1.997669771	RPS6KC1
20893	Smcr8	chr10	16	5.21E-03	47017541	0	2.283362382	2.241576301	SMCR8
22327	Top3a	chr10	53	5.21E-03	47017541	0	2.283362382	2.210510942	TOP3A
15593	Mtmr7	chr16	161	5.22E-03	54833900	0	2.282595813	2.156575956	MTMR7
15946	Nedd4l	chr18	537	5.22E-03	60668543	0	2.282069165	1.918811887	NEDD4L
3342	Dner	chr9	705	5.23E-03	91968910	0	2.281760794	1.920549575	DNER
16031	Nhsl1	chr1	877	5.23E-03	13664213	0	2.281225198	2.013016293	NHSL1
12770	LOC108351745	chr8	82	5.24E-03	80199503	0	2.280768181	2.243680607	NA
7434	LOC102547703	chr6	102	5.24E-03	52452085	0	2.280639706	2.230454543	NA
5593	Htr2a	chr15	281	5.25E-03	56723929	0	2.280018587	2.178820497	HTR2A
14114	Larp1	chr10	33	5.25E-03	43448872	0	2.279619056	2.179293402	LARP1
713	Apmap	chr3	34	5.25E-03	146413048	0	2.27956449	2.214394305	APMAP
453	Akr1c2	chr17	22	5.25E-03	69386459	0	2.279501666	2.197874661	AKR1C2
455	Akr1e2	chr17	21	5.25E-03	69386459	0	2.279501666	2.230318449	AKR1E2
16841	Olr1750	chr20	35	5.27E-03	1961649	0	2.278048489	2.232988513	NA
14925	Mier3	chr2	100	5.27E-03	43302040	0	2.27803366	2.214426632	MIER3
4438	Flvcr1	chr13	54	5.28E-03	109634266	0	2.277576696	2.237494325	FLVCR1
2502	Col4a1	chr16	421	5.28E-03	83512371	0	2.27726903	2.132224238	COL4A1
2503	Col4a2	chr16	634	5.28E-03	83512371	0	2.27726903	2.106332256	COL4A2
8759	LOC102552709	chr8	64	5.29E-03	102191911	0	2.276797261	2.236085412	NA
17023	Olr411	chr3	13	5.30E-03	20848361	0	2.275683981	2.240120409	OR1J1
14348	Lrp2bp	chr16	172	5.31E-03	49437357	0	2.275114907	2.214667323	LRP2BP
21004	Snx25	chr16	293	5.31E-03	49437357	0	2.275114907	2.136629953	SNX25
4692	Gas5	chr13	24	5.31E-03	78856365	0	2.274705962	2.236752979	GAS5
23472	Zbtb37	chr13	29	5.31E-03	78856365	0	2.274705962	2.224291898	ZBTB37
2333	Clec4e	chr4	83	5.32E-03	156271325	0	2.274187156	2.234391917	CLEC4E
3021	Dclre1a	chr1	85	5.33E-03	277332262	0	2.273419482	2.218812904	DCLRE1A
10101	LOC103691381	chr1	34	5.33E-03	277332262	0	2.273419482	2.236042768	NA
20165	Sdcbp	chr5	89	5.33E-03	19489735	0	2.273168508	2.211608542	SDCBP
11538	LOC108349029	chr20	209	5.33E-03	1877756	0	2.273026788	2.220888934	NA
22763	Ubd	chr20	123	5.33E-03	1877756	0	2.273026788	2.236449222	UBD
18236	Ppil1	chr20	380	5.35E-03	6694687	0	2.271607255	1.886675607	PPIL1
11542	LOC108349038	chr20	36	5.35E-03	6709641	0	2.271498502	2.233240317	NA
20697	Slc35a1	chr5	63	5.36E-03	50144352	0	2.270896794	2.213378749	SLC35A1
14724	Mccc1	chr2	172	5.36E-03	122553330	0	2.270850605	2.095916085	MCCC1
828	Arid1b	chr1	237	5.36E-03	46233202	0	2.270482894	1.925459435	ARID1B
23530	Zdhhc2	chr16	84	5.37E-03	54938894	0	2.270176975	2.165506207	ZDHHC2
2541	Copg2	chr4	237	5.37E-03	58064074	0	2.269895526	2.103911259	COPG2
14829	Mest	chr4	34	5.37E-03	58064074	0	2.269895526	2.224794388	MEST
4062	Fam163a	chr13	268	5.38E-03	73809268	0	2.269124095	2.155755066	FAM163A
10890	LOC103693620	chr12	48	5.39E-03	14211744	0	2.268177633	2.232642172	NA
12347	LOC108350977	chr5	193	5.40E-03	73362623	0	2.267719654	2.127740816	NA
3228	Disc1	chr19	990	5.40E-03	57820504	0	2.267538689	1.980772691	DISC1
778	Arhgap15	chr3	914	5.40E-03	28968605	0	2.267234836	1.620968855	ARHGAP15
21489	Syk	chr17	65	5.41E-03	12638160	0	2.266615732	2.176521376	SYK
334	Adora2b	chr10	56	5.42E-03	48559813	0	2.266015137	2.214526841	ADORA2B
17201	Olr72	chr1	16	5.42E-03	168185891	0	2.265649894	2.230020061	NA
3449	Dscr3	chr11	30	5.43E-03	34774837	0	2.265415371	2.202291245	NA
7902	LOC102549457	chr11	13	5.43E-03	34742557	0	2.265402568	2.228038907	NA
13075	LOC108352310	chr11	16	5.43E-03	34733598	0	2.265402568	2.227909396	NA
18031	Plekhg6	chr4	95	5.45E-03	157894715	0	2.263871329	2.209733598	PLEKHG6
23526	Zdhhc14	chr1	444	5.45E-03	46436298	0	2.26383226	1.948387303	ZDHHC14
23348	Wnt11	chr1	75	5.45E-03	163790331	0	2.263617045	2.20930061	WNT11
45	Abcb4	chr4	98	5.45E-03	22181790	0	2.263369281	2.169815299	ABCB4
20835	Slco2a1	chr8	40	5.45E-03	111492730	0	2.263339017	2.146519398	SLCO2A1
22960	Usp40	chr9	4	5.46E-03	95062125	0	2.263022967	2.157127375	USP40
11759	LOC108349698	chr1	48	5.46E-03	236640164	0	2.262539386	2.2250171	NA
19234	RT1-M10-1	chr20	14	5.46E-03	2476901	0	2.262457517	2.220919413	NA
8593	LOC102552123	chr18	81	5.48E-03	52038819	0	2.261581769	2.205297584	NA
8995	LOC102553625	chr2	109	5.48E-03	69687622	0	2.261496908	2.132500326	NA
8791	LOC102552817	chr5	288	5.48E-03	14864748	0	2.261095828	2.182397358	NA
2296	Cldn14	chr11	122	5.49E-03	34149905	0	2.260308221	2.21541691	CLDN14
4731	Gcm1	chr8	31	5.50E-03	85345812	0	2.259981724	2.212074534	GCM1
13589	LOC301124	chr9	7	5.51E-03	10437802	0	2.259218221	2.221588511	NA
3419	Dpy19l4	chr5	41	5.51E-03	24563377	0	2.259000549	2.16715329	DPY19L4
2526	Commd1	chr14	162	5.52E-03	107732282	0	2.258289931	2.127639837	COMMD1
17812	Phb	chr10	14	5.52E-03	83471270	0	2.258010572	2.210570221	PHB
13831	LOC684381	chr8	53	5.52E-03	107125408	0	2.257952362	2.222548419	NA
13832	LOC684395	chr8	45	5.52E-03	107125408	0	2.257952362	2.222174948	NA
20653	Slc26a4	chr6	196	5.52E-03	50837864	0	2.257815521	2.183701107	SLC26A4
8581	LOC102552091	chr14	128	5.53E-03	107524500	0	2.257666932	2.181644	NA
9871	LOC103690249	chr4	291	5.53E-03	58637603	0	2.257386402	2.062729199	NA
22639	Ttc37	chr2	177	5.53E-03	2937368	0	2.257319636	2.07578512	TTC37
12479	LOC108351223	chr6	71	5.53E-03	52723177	0	2.257064448	2.219949767	NA
12363	LOC108351003	chr5	30	5.54E-03	113564595	0	2.256542761	2.218941162	NA
2435	Cnot7	chr16	24	5.54E-03	54897363	0	2.256502778	2.202644147	CNOT7
23191	Vps37a	chr16	41	5.54E-03	54897363	0	2.256502778	2.183132294	VPS37A
17472	Pak1	chr1	119	5.54E-03	162793176	0	2.256457312	2.106182922	PAK1
11214	LOC108348225	chr13	64	5.54E-03	109581425	0	2.256268441	2.175526924	NA
13076	LOC108352311	chr11	16	5.55E-03	34798895	0	2.25572345	2.218630856	NA
11065	LOC103694223	chr18	146	5.55E-03	52362067	0	2.255691367	2.198986525	NA
23235	Vwf	chr4	586	5.55E-03	158202217	0	2.255620949	2.086004375	VWF
3497	Dusp27	chr13	76	5.55E-03	84321836	0	2.255441826	2.190629049	DUSP27
5181	Gsx1	chr12	37	5.57E-03	9613644	0	2.253857969	2.217938997	GSX1
22565	Tsga13	chr4	104	5.59E-03	58192445	0	2.2526014	2.196610369	TSGA13
11295	LOC108348497	chr17	66	5.60E-03	7842419	0	2.251815075	2.204231158	NA
20048	Sap30l	chr10	51	5.61E-03	43222390	0	2.251401913	2.209039563	SAP30L
20976	Snrpb	chr3	36	5.61E-03	122707375	0	2.251257826	2.208999886	SNRPB
5035	Gpr156	chr11	36	5.62E-03	65304126	0	2.250605381	2.150755602	GPR156
19406	Rasgef1b	chr14	1617	5.62E-03	11502172	0	2.250317781	1.684786797	RASGEF1B
11360	LOC108348616	chr17	26	5.63E-03	69353197	0	2.249810308	2.207225079	NA
2182	Chia	chr2	222	5.63E-03	208741000	0	2.249264104	2.167419241	CHIA
18358	Prdx1l1	chr2	75	5.63E-03	208741000	0	2.249264104	2.213806951	NA
3598	Efcab10	chr6	106	5.64E-03	52693795	0	2.249097602	2.207532391	EFCAB10
21352	Stk38l	chr4	50	5.64E-03	181024578	0	2.248929623	2.151540536	STK38L
5000	Gpbp1	chr2	200	5.64E-03	43010517	0	2.248637741	2.145554225	GPBP1
16824	Olr1726	chr20	7	5.65E-03	1580794	0	2.248277588	2.212722047	NA
8562	LOC102552016	chr10	30	5.65E-03	91551355	0	2.247905435	2.211408186	NA
896	Arse	chr2	31	5.66E-03	122893564	0	2.247094571	2.204415974	ARSE
690	Apaf1	chr7	201	5.67E-03	31793680	0	2.246711166	2.12687366	APAF1
5735	Ikbip	chr7	124	5.67E-03	31793680	0	2.246711166	2.193207934	IKBIP
14575	Malt1	chr18	16	5.67E-03	61132255	0	2.2463909	2.157825567	MALT1
19009	RGD1562011	chr1	34	5.67E-03	216950050	0	2.246184154	2.210683832	NA
235	Adam24	chr16	32	5.69E-03	54636108	0	2.244647373	2.203969658	NA
2731	Csf3r	chr5	66	5.70E-03	144056342	0	2.244106097	2.188792735	CSF3R
15481	Mrps15	chr5	69	5.70E-03	144056342	0	2.244106097	2.198852358	MRPS15
2169	Chd4	chr4	50	5.70E-03	157609644	0	2.244105335	2.176226481	CHD4
185	Actbl2	chr2	9	5.70E-03	42833065	0	2.24401011	2.206633396	ACTBL2
12527	LOC108351287	chr6	53	5.70E-03	118605199	0	2.243895105	2.183852115	NA
15428	Mro	chr18	5	5.71E-03	69854597	0	2.243730649	2.192652971	MRO
8998	LOC102553636	chr4	76	5.71E-03	157091868	0	2.243491689	2.199852309	NA
3553	Ebi3	chr9	19	5.71E-03	11104175	0	2.243164664	2.204561118	EBI3
1758	Ccdc94	chr9	18	5.71E-03	11104175	0	2.243164664	2.198614697	NA
20429	Shd	chr9	18	5.71E-03	11104175	0	2.243164664	2.199746154	SHD
1967	Cdh6	chr2	152	5.72E-03	63122646	0	2.242930574	2.061839806	CDH6
7686	LOC102548590	chr7	8	5.72E-03	90415848	0	2.242761925	2.197982053	NA
22992	Uxs1	chr9	23	5.72E-03	11215167	0	2.242703445	2.132463742	UXS1
7551	LOC102548113	chr13	1	5.72E-03	105466819	0	2.242339072	2.197514021	NA
13069	LOC108352304	chr11	313	5.73E-03	29822382	0	2.242171411	2.132340317	NA
4847	Gkn2	chr4	40	5.73E-03	119177401	0	2.241858263	2.16098322	GKN2
4848	Gkn3	chr4	75	5.73E-03	119177401	0	2.241858263	2.20082816	GKN3P
20174	Sdhb	chr5	128	5.73E-03	159503339	0	2.241762771	2.186377125	SDHB
4954	Gnptg	chr10	39	5.74E-03	14586500	0	2.241251566	2.201668161	GNPTG
12153	LOC108350614	chr3	25	5.74E-03	141036560	0	2.241113076	2.205188081	NA
5756	Il17c	chr19	23	5.74E-03	55256747	0	2.241046496	2.204658678	IL17C
3729	Elovl5	chr8	117	5.74E-03	85260185	0	2.241001106	2.139611261	ELOVL5
5317	Hdac4	chr9	750	5.74E-03	99212300	0	2.240836986	1.958472324	HDAC4
11780	LOC108349755	chr1	10	5.74E-03	84565969	0	2.240795398	2.205719748	NA
3830	Epn2	chr10	22	5.77E-03	47859302	0	2.238758709	2.142018176	EPN2
2677	Cript	chr6	85	5.77E-03	10608887	0	2.238684964	2.196078653	CRIPT
20002	Ryr2	chr17	1031	5.77E-03	65559603	0	2.238481854	1.780587825	RYR2
12310	LOC108350928	chr5	24	5.78E-03	21522162	0	2.237790487	2.200194912	NA
5732	Igtp	chr10	137	5.79E-03	43630156	0	2.237187943	2.194582636	NA
9494	LOC102555634	chr10	131	5.79E-03	43630156	0	2.237187943	2.197869582	NA
12634	LOC108351492	chr7	12	5.80E-03	90182343	0	2.236826668	2.195869853	NA
11645	LOC108349524	chr1	79	5.80E-03	52173961	0	2.236346681	2.188918377	NA
19052	RGD1562758	chr18	14	5.81E-03	63834838	0	2.236031721	2.198733316	NA
18787	RGD1306556	chr12	313	5.81E-03	49476456	0	2.235888157	2.057691789	KIAA1671
22869	Ulk2	chr10	16	5.81E-03	48083085	0	2.235578011	2.12134759	ULK2
21031	Sorcs1	chr1	844	5.81E-03	270217022	0	2.235485384	1.691587607	SORCS1
5467	Hnf1b	chr10	91	5.82E-03	71181483	0	2.235096417	2.141205107	HNF1B
8193	LOC102550600	chr19	60	5.83E-03	54717346	0	2.234506539	2.198517291	NA
20813	Slc7a5	chr19	83	5.83E-03	54717346	0	2.234506539	2.171170579	SLC7A5
10903	LOC103693688	chr13	171	5.84E-03	99346666	0	2.233436217	2.190689352	NA
13995	LOC690147	chr13	108	5.84E-03	99346666	0	2.233436217	2.192212351	NA
827	Arhgef7	chr16	137	5.84E-03	83118515	0	2.233280132	2.087891988	ARHGEF7
8136	LOC102550392	chr3	56	5.88E-03	9124586	0	2.230715747	2.189134473	NA
8386	LOC102551352	chr1	29	5.88E-03	274174912	0	2.230466858	2.193962581	NA
7769	LOC102548908	chr13	24	5.88E-03	45577379	0	2.23038934	2.181319571	NA
1766	Ccl1	chr10	54	5.89E-03	69526670	0	2.230171626	2.192681466	CCL1
20837	Slco3a1	chr1	501	5.89E-03	135910384	0	2.23005654	1.911533459	SLCO3A1
5165	Gsn	chr3	167	5.89E-03	14446919	0	2.229589132	2.141945429	GSN
9107	LOC102554040	chr3	194	5.89E-03	14446919	0	2.229589132	2.159096985	NA
13761	LOC680142	chr6	73	5.92E-03	52832678	0	2.227998263	2.191127543	NA
7774	LOC102548933	chr3	77	5.92E-03	14565569	0	2.227993124	2.191082246	NA
22677	Tuba3a	chr4	72	5.94E-03	157798356	0	2.226528057	2.182985056	NA
497	Alg8	chr1	125	5.94E-03	162355592	0	2.226451239	2.171674993	ALG8
10828	LOC103693417	chr10	63	5.94E-03	77826097	0	2.226181386	2.180625457	NA
11146	LOC103695100	chr2	26	5.94E-03	63089734	0	2.225948234	2.177729818	NA
2602	Cpeb1	chr1	95	5.95E-03	143251265	0	2.225721779	2.083651704	CPEB1
609	Ankrd37	chr16	87	5.95E-03	49459864	0	2.225466977	2.187947702	ANKRD37
17241	Olr80	chr1	17	5.95E-03	168274601	0	2.225390346	2.189814727	OR52E2
22476	Trim44	chr3	21	5.95E-03	92052975	0	2.225358238	1.916301443	TRIM44
653	Anxa5	chr2	154	5.95E-03	123183461	0	2.225256822	2.158257432	ANXA5
18818	RGD1308601	chr18	73	5.96E-03	74042998	0	2.225106566	2.143650233	C18orf25
23169	Vom2r77	chr9	218	5.96E-03	7753553	0	2.224828801	2.123894751	NA
405	Ahnak	chr1	369	5.96E-03	225326941	0	2.224757384	1.94441569	AHNAK
956	Asrgl1	chr1	122	5.96E-03	225326941	0	2.224757384	2.170053423	ASRGL1
6857	LOC100911065	chr16	13	5.97E-03	54638720	0	2.224099149	2.136109082	NA
9475	LOC102555545	chr4	97	5.97E-03	157788869	0	2.224048221	2.176284596	NA
20368	Sgcz	chr16	3068	5.97E-03	57912751	0	2.223998026	1.115231368	SGCZ
16180	Nphp3	chr8	160	5.97E-03	112539512	0	2.223851113	2.139845741	NPHP3
1007	Atp11b	chr2	97	5.98E-03	122450393	0	2.223657002	2.081280721	ATP11B
16825	Olr1729	chr20	122	5.98E-03	1617630	0	2.223089708	2.183948043	NA
16855	Olr1876	chr20	106	5.98E-03	1617630	0	2.223089708	2.185898726	NA
2158	Chaf1a	chr9	15	5.98E-03	11002637	0	2.222988094	2.161501418	CHAF1A
22823	Ubxn6	chr9	10	5.98E-03	11002637	0	2.222988094	2.18322197	UBXN6
689	Ap5z1	chr12	40	5.98E-03	14160086	0	2.2229685	2.174295293	AP5Z1
19342	Radil	chr12	169	5.98E-03	14149546	0	2.2229685	2.123932928	RADIL
21287	St6galnac5	chr2	2337	5.99E-03	259030131	0	2.222858934	1.058257356	ST6GALNAC5
8644	LOC102552331	chr11	17	5.99E-03	65696194	0	2.222622483	2.168333155	NA
10880	LOC103693583	chr11	15	5.99E-03	65696194	0	2.222622483	2.134032051	NA
19779	Rnf6	chr12	60	5.99E-03	10567928	0	2.222230373	2.178547822	RNF6
4853	Glcci1	chr4	410	6.00E-03	34415851	0	2.22213403	1.856125917	GLCCI1
11311	LOC108348516	chr17	46	6.00E-03	13061075	0	2.222018882	2.181074115	NA
1119	B3gnt6	chr1	24	6.00E-03	163142167	0	2.221777821	2.180664389	B3GNT6
20577	Slc1a3	chr2	144	6.00E-03	57900807	0	2.22157957	2.112184193	SLC1A3
15795	Nampt	chr6	102	6.01E-03	52157106	0	2.221309835	2.152167003	NAMPT
10743	LOC103693217	chr14	32	6.01E-03	107590931	0	2.220885684	2.182552203	NA
4228	Fat3	chr8	1343	6.03E-03	14453975	0	2.219411249	1.587884322	FAT3
12194	LOC108350698	chr4	247	6.04E-03	70137554	0	2.219057984	2.057366625	NA
21703	Tcea1	chr5	62	6.04E-03	14529875	0	2.218857377	2.146779986	TCEA1
17410	Oxct1	chr2	517	6.04E-03	53971012	0	2.218807779	2.035608706	OXCT1
17227	Olr77	chr1	3	6.04E-03	168229304	0	2.218771123	2.183198515	NA
17238	Olr79	chr1	5	6.04E-03	168235737	0	2.218771123	2.183207551	NA
17199	Olr70	chr1	3	6.04E-03	168169075	0	2.218771123	2.183207551	OR51G1
17234	Olr78	chr1	8	6.04E-03	168229304	0	2.218771123	2.183201527	OR51L1
20923	Smndc1	chr1	39	6.04E-03	274092460	0	2.218646803	2.172914178	SMNDC1
5411	Hipk3	chr3	129	6.04E-03	94358001	0	2.218611598	2.114311289	HIPK3
17970	Pla2g4a	chr13	138	6.05E-03	67081600	0	2.218528984	2.038902985	PLA2G4A
7935	LOC102549579	chr2	71	6.05E-03	136921730	0	2.218081706	2.061608902	NA
17642	Pctp	chr10	58	6.06E-03	77520806	0	2.21786075	2.137237699	PCTP
6512	LOC100360508	chr13	41	6.07E-03	45087360	0	2.216680396	2.181639885	NA
7697	LOC102548646	chr13	65	6.07E-03	45087360	0	2.216680396	2.175242688	NA
11308	LOC108348513	chr17	44	6.07E-03	12684643	0	2.216678966	2.178561334	NA
14737	Mcm6	chr13	112	6.08E-03	45051706	0	2.216325057	2.156415593	MCM6
12308	LOC108350926	chr5	32	6.08E-03	19903618	0	2.215864335	2.179218501	NA
23601	Zfp316	chr12	117	6.09E-03	13348707	0	2.215267196	2.159605463	ZNF316
14787	Med27	chr3	237	6.10E-03	7891050	0	2.214870984	2.005353249	MED27
9222	LOC102554501	chr3	68	6.10E-03	9508553	0	2.214339942	2.164963966	NA
10893	LOC103693627	chr12	62	6.11E-03	13471839	0	2.214273074	2.175425568	NA
15102	Mir3473	chr13	30	6.12E-03	44715009	0	2.213546725	2.178861614	NA
12015	LOC108350346	chr3	33	6.12E-03	7834220	0	2.213105965	2.171929285	NA
5324	Hdgfrp2	chr9	17	6.12E-03	10994560	0	2.21310029	2.15880795	NA
2017	Cdx2	chr12	30	6.13E-03	9455469	0	2.212732273	2.171548565	CDX2
9993	LOC103691014	chr12	27	6.13E-03	9455469	0	2.212732273	2.176145672	NA
